City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
258,Itarema,BR,76.66,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
267,Russell,US,85.6,clear sky,32.3502,-85.1999,Macs
269,Hun,LY,79.11,clear sky,29.1268,15.9477,Alrwasi Hotel
271,Sao Filipe,CV,75.83,clear sky,14.8961,-24.4956,Hotel Xaguate
275,Goianira,BR,76.82,clear sky,-16.4961,-49.4264,Estância Palmeiras
279,Sungairaya,ID,76.26,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
286,Meulaboh,ID,75.94,overcast clouds,4.1363,96.1285,Kost Pria
290,Darab,IR,79.54,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
297,Ladnun,IN,85.93,clear sky,27.65,74.3833,Varsha Sanjay Sadan
307,Pangai,TO,82.51,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
309,Muisne,EC,75.33,broken clouds,0.6,-80.0333,Quinta Samay
310,Marsh Harbour,BS,80.11,clear sky,26.5412,-77.0636,Abaco Beach Resort
312,Sabang,ID,82.51,overcast clouds,5.8933,95.3214,Hotel Citra
314,Port Moresby,PG,78.22,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
318,Gunjur,GM,80.67,clear sky,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
320,La Asuncion,VE,85.73,clear sky,11.0333,-63.8628,Colinas de Matasiete
324,Wiwili,NI,75.96,overcast clouds,13.6268,-85.8254,Hostal Gladys
326,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
328,Isangel,VU,78.4,few clouds,-19.55,169.2667,Tanna Lodge
335,Ambad,IN,84.69,overcast clouds,19.6167,75.8,"चांगले नगर, अंबड शहर"
342,Adiake,CI,76.5,moderate rain,5.2863,-3.304,Complexe Le Crystal
343,Pingshan,CN,81.61,overcast clouds,22.9938,114.7131,Island Skylight Resort
346,Mutis,CO,78.64,moderate rain,6.2262,-77.4044,Paraiso Escondido
348,Chabahar,IR,84.04,clear sky,25.2919,60.643,هتل گدروشیا
353,Sao Miguel Do Araguaia,BR,77.23,clear sky,-13.275,-50.1628,Hotel Executivo Palace
355,Dindori,IN,86.38,overcast clouds,22.95,81.0833,Konark Marriage Garden
356,Half Moon Bay,US,80.42,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
359,Santa Cruz,BO,77.05,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
365,Fare,PF,79.7,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
367,Kirakira,SB,82.33,broken clouds,-10.4544,161.9205,SanBiz Lodge
374,Guasdualito,VE,78.76,scattered clouds,7.2424,-70.7324,Hotel Cuibas
378,Bluefield,US,75.78,broken clouds,37.2698,-81.2223,Economy Inn
384,Gusau,NG,81.72,overcast clouds,12.1628,6.6614,GUEST INN
385,Kloulklubed,PW,82.72,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
388,Cairns,AU,75.15,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
391,Kiri Buru,IN,76.62,overcast clouds,22.0833,85.35,Lucky India
396,Biak,ID,77.67,broken clouds,-0.9131,122.8766,Penginapan Kim
397,Samarai,PG,82.71,broken clouds,-10.6167,150.6667,Nuli Sapi
404,Janakpur,NP,82.67,overcast clouds,26.7183,85.9065,Hotel Sita Palace
407,Anakapalle,IN,85.95,overcast clouds,17.6833,83.0167,Satya Lodge
410,Kankon,IN,82.2,light rain,15.0167,74.0167,Palolem Beach Resort
411,Kangaba,ML,87.55,scattered clouds,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
412,Ixtapa,MX,79.23,clear sky,20.7,-105.2,hotel la terminal
414,Balkanabat,TM,87.12,clear sky,39.5108,54.3671,Nebitchi Hotel
416,Charleston,US,80.76,broken clouds,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
418,Banjar,ID,77.47,overcast clouds,-8.19,114.9675,The Hamsa Resort
422,Caucaia,BR,78.75,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
423,Aswan,EG,88.9,clear sky,24.0934,32.907,Nuba Nile
424,Salinopolis,BR,78.57,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
425,Caramay,PH,80.69,broken clouds,10.1815,119.236,Peace and Love Beach Club
430,Umm Lajj,SA,85.44,few clouds,25.0213,37.2685,Moon light Furnished Units
433,Beyneu,KZ,80.2,scattered clouds,45.3167,55.2,NUR
435,Acajutla,SV,82.49,overcast clouds,13.5928,-89.8275,Laureles
438,Grand-Lahou,CI,79.03,moderate rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
450,Pitimbu,BR,75.79,clear sky,-7.4706,-34.8086,Reserva do Abiaí
451,Alofi,NU,80.49,clear sky,-19.0595,-169.9187,Taloa Heights
452,Gurupi,BR,77.02,clear sky,-11.7292,-49.0686,Via Norte Hotel
453,Natal,BR,79.02,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
457,Palu,ID,75.36,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
458,Puerto Cabezas,NI,85.96,scattered clouds,14.0351,-83.3888,Cabaña Caribe
468,Pakxe,LA,75.43,overcast clouds,15.1167,105.7833,Champasak Palace Hotel
470,Havelock,US,80.55,clear sky,34.8791,-76.9013,Sherwood Motel
471,Ahuimanu,US,84.78,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
475,Sena Madureira,BR,78.44,overcast clouds,-9.0656,-68.6569,Hotel Central
477,Jega,NG,82.4,overcast clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
480,Harper,LR,78.31,overcast clouds,4.375,-7.7169,Screensaver
485,Tolga,DZ,86.81,broken clouds,34.7222,5.3785,سجن طولقة
491,Abu Dhabi,AE,87.91,clear sky,24.4667,54.3667,Beach Rotana
497,Katobu,ID,76.59,overcast clouds,-4.9408,122.5276,La Ode Husein
509,Mandera,KE,79.56,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
513,Arenapolis,BR,78.55,clear sky,-14.4503,-56.8461,Mato Grosso Hotel
520,Cabcaben,PH,84.15,broken clouds,14.454,120.5914,villa carmen beach resort
521,Pak Phanang,TH,79.59,light rain,8.3511,100.202,Green Park Inn Hotel
529,Bajah,YE,77.49,clear sky,13.8141,44.6301,باجة
534,Takoradi,GH,77.77,light rain,4.8845,-1.7554,Raybow International Hotel
540,Sorong,ID,79.68,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
543,Kudahuvadhoo,MV,82.9,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
544,Porto Novo,BJ,80.42,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
546,Canton,CN,84.15,overcast clouds,23.1167,113.25,Shangjiuwan Hotel
554,Ternate,ID,81.18,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
555,Kahului,US,83.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
558,Wahiawa,US,81.79,clear sky,21.5028,-158.0236,The Inn At Schofield
563,Kailua,US,85.06,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
569,Port-Gentil,GA,75.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
578,Thaton,MM,76.87,overcast clouds,16.9206,97.3714,"Shwe Pyi Soe Guest House, Thaton"
583,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
586,Ocos,GT,84.38,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
587,Kieta,PG,82.74,light rain,-6.2167,155.6333,Uruna Bay Retreat
589,Araceli,PH,83.17,overcast clouds,10.5529,119.9913,JBryan Traveler's Inn
590,Dubai,AE,83.44,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
591,Campo Grande,BR,76.55,clear sky,-20.4428,-54.6464,OYO Athenas Apart Hotel
603,Miracema Do Tocantins,BR,77.27,clear sky,-9.5618,-48.3967,Miami Apart Hotel
604,Pombal,BR,78.94,broken clouds,-6.7703,-37.8017,Pousada Shalom
606,Curillo,CO,75.15,heavy intensity rain,1.0333,-75.9191,CASA CLUB
609,Kerema,PG,80.49,broken clouds,-7.9631,145.7785,Frena Lodge
611,Tecoanapa,MX,83.71,scattered clouds,16.5167,-98.75,Hotel Manglares
615,Kandi,BJ,76.75,moderate rain,11.1342,2.9386,Hébergement de la Poste
624,Dakar,SN,77.88,clear sky,14.6937,-17.4441,Novotel Dakar
625,Dasoguz,TM,77.99,few clouds,41.8363,59.9666,Hotel Erik
627,Dambulla,LK,75.15,overcast clouds,7.86,80.6517,Tinaya Treats
632,Qeshm,IR,85.14,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
634,Awash,ET,80.92,broken clouds,8.9833,40.1667,Kediga hotel
635,Auki,SB,82.6,light rain,-8.7676,160.7034,Auki Motel
639,Progreso,MX,87.91,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
640,Sinnamary,GF,77.95,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
644,Celestun,MX,82.78,few clouds,20.8667,-90.4,Posada Lilia
646,Phan Thiet,VN,78.26,scattered clouds,10.9333,108.1,Hotel Saigon-PT
653,Boffa,GN,79.5,overcast clouds,10.1667,-14.0333,Hôtel Niara Belly
654,Moerai,PF,76.17,overcast clouds,-22.4333,-151.3333,Le Manotel
655,Riyadh,SA,84.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
658,Rodrigues Alves,BR,77.94,overcast clouds,-7.738,-72.6509,Pousada Aconchego
660,El Sauce,NI,77.05,overcast clouds,12.8869,-86.539,Hotel Blanco
664,Carutapera,BR,75.56,overcast clouds,-1.195,-46.02,Lidera
666,San Pedro,PH,84.31,overcast clouds,14.35,121.0167,Esquivel's Garden And Resort
670,Arawa,PG,82.44,light rain,-6.2132,155.5367,Coastline Guest House
671,Athens,GR,81.18,clear sky,37.9795,23.7162,Safestay Athens
676,Tulum,MX,83.07,overcast clouds,20.2167,-87.4667,Kin Ha Tulum
679,Tecate,MX,85.3,few clouds,32.5667,-116.6333,Hotel El Dorado
680,Maloma,PH,82.09,overcast clouds,15.1135,120.0639,Brandenburg Resort
